,TF,targetGene,Region,chrom,start,end
1,FOXB2,GCG,Enhancer,chr2,163154923,163155922
2,FOXB2,GCG,Enhancer,chr2,162776295,162777294
3,FOXB2,GCG,Enhancer,chr2,162094189,162095188
4,FOXB2,GCG,Enhancer,chr2,162803622,162804621
5,FOXB2,GCG,Enhancer,chr2,162854796,162855795
6,FOXB2,GCG,Enhancer,chr2,162948887,162949886
7,FOXB2,GCG,Enhancer,chr2,162269850,162270849
8,FOXB2,GCG,Enhancer,chr2,162804041,162805040
17,CEBPG,ZNF114,Enhancer,chr19,48614519,48615518
24,CDX4,CDCA2,Enhancer,chr8,25043922,25044921
25,CDX4,CDCA2,Enhancer,chr8,25112284,25113283
26,CTCFL,CDCA2,Enhancer,chr8,25101857,25102856
27,CTCFL,CDCA2,Enhancer,chr8,25157859,25158858
29,DUXA,CDCA2,Enhancer,chr8,25250114,25251113
30,FOXA2,CDCA2,Enhancer,chr8,25115619,25116618
31,FOXA2,CDCA2,Enhancer,chr8,25108072,25109071
32,FOXA2,CDCA2,Enhancer,chr8,25056844,25057843
33,FOXB2,CDCA2,Enhancer,chr8,25099886,25100885
34,FOXB2,CDCA2,Enhancer,chr8,25116581,25117580
36,FOXB2,CDCA2,Enhancer,chr8,25165938,25166937
37,FOXB2,CDCA2,Enhancer,chr8,25053295,25054294
38,FOXB2,CDCA2,Enhancer,chr8,25070309,25071308
39,FOXB2,CDCA2,Enhancer,chr8,25157859,25158858
40,FOXB2,CDCA2,Enhancer,chr8,25101857,25102856
41,FOXB2,CDCA2,Enhancer,chr8,25043922,25044921
42,FOXB2,CDCA2,Enhancer,chr8,25110042,25111041
43,FOXB2,CDCA2,Enhancer,chr8,25089943,25090942
44,FOXB2,CDCA2,Enhancer,chr8,25117346,25118345
45,FOXB2,CDCA2,Enhancer,chr8,25045544,25046543
46,FOXB2,CDCA2,Enhancer,chr8,25109591,25110590
47,FOXB2,CDCA2,Enhancer,chr8,25051201,25052200
48,FOXB2,CDCA2,Enhancer,chr8,25108072,25109071
49,FOXB2,CDCA2,Enhancer,chr8,25100521,25101520
50,FOXB2,CDCA2,Enhancer,chr8,25117954,25118953
51,FOXB2,CDCA2,Enhancer,chr8,25248871,25249870
52,FOXB2,CDCA2,Enhancer,chr8,25052629,25053628
53,FOXB2,CDCA2,Enhancer,chr8,25112284,25113283
54,FOXB2,CDCA2,Enhancer,chr8,25056844,25057843
55,FOXB2,CDCA2,Enhancer,chr8,25115619,25116618
56,FOXB2,CDCA2,Enhancer,chr8,25044765,25045764
57,FOXB2,CDCA2,Enhancer,chr8,25250114,25251113
58,FOXB2,CDCA2,Enhancer,chr8,25158698,25159697
59,FOXD3,CDCA2,Enhancer,chr8,25112284,25113283
60,FOXD3,CDCA2,Enhancer,chr8,25051201,25052200
61,FOXD3,CDCA2,Enhancer,chr8,25070309,25071308
62,FOXD3,CDCA2,Enhancer,chr8,25117346,25118345
63,GATA5,CDCA2,Enhancer,chr8,25089943,25090942
64,GATA5,CDCA2,Enhancer,chr8,25051201,25052200
65,HMX2,CDCA2,Enhancer,chr8,25045544,25046543
66,HOXA6,CDCA2,Enhancer,chr8,25089943,25090942
67,HOXA6,CDCA2,Enhancer,chr8,25070309,25071308
68,HOXA6,CDCA2,Enhancer,chr8,25116581,25117580
69,HOXA6,CDCA2,Enhancer,chr8,25117954,25118953
70,HOXA6,CDCA2,Enhancer,chr8,25100888,25101887
71,HOXA6,CDCA2,Enhancer,chr8,25101857,25102856
72,HOXA6,CDCA2,Enhancer,chr8,25112284,25113283
73,HOXA6,CDCA2,Enhancer,chr8,25114943,25115942
74,HOXA6,CDCA2,Enhancer,chr8,25043922,25044921
75,HOXA7,CDCA2,Enhancer,chr8,25101857,25102856
76,HOXC11,CDCA2,Enhancer,chr8,25043922,25044921
77,HOXC11,CDCA2,Enhancer,chr8,25112284,25113283
78,HOXC9,CDCA2,Enhancer,chr8,25116581,25117580
79,HOXC9,CDCA2,Enhancer,chr8,25112284,25113283
80,HOXC9,CDCA2,Enhancer,chr8,25100888,25101887
81,HOXC9,CDCA2,Enhancer,chr8,25070309,25071308
82,HOXC9,CDCA2,Enhancer,chr8,25109591,25110590
